ParkID;Name;Official;Advisories;SpecialFeatures;Facilities;Washrooms;StreetNumber;StreetName;EWStreet;NSStreet;NeighbourhoodName;NeighbourhoodURL;Hectare;GoogleMapDest
1;Arbutus Village Park;1;N;N;Y;N;4202;Valley Drive;King Edward Avenue;Valley Drive;Arbutus-Ridge;https://vancouver.ca/news-calendar/arbutus-ridge.aspx;1.41;49.249783,-123.15525
4;Park Site on Puget Drive;0;N;N;N;N;4309;Puget Drive;Puget Drive;MacDonald Street;Arbutus-Ridge;https://vancouver.ca/news-calendar/arbutus-ridge.aspx;0.09;49.247723,-123.168194
10;Andy Livingstone Park;1;N;N;Y;Y;89;Expo Boulevard;Expo Boulevard;Carrall Street;Downtown;https://vancouver.ca/news-calendar/downtown.aspx;4.21;49.278923,-123.1055
14;Coopers' Park;1;N;Y;Y;N;1020;Marinaside Crescent;Nelson Street;Marinaside Crescent;Downtown;https://vancouver.ca/news-calendar/downtown.aspx;1.71;49.273253,-123.1139
18;Devonian Harbour Park;1;N;Y;Y;N;1929;W Georgia Street;W Georgia Street;Denman Street;Downtown;https://vancouver.ca/news-calendar/downtown.aspx;4.42;49.294353,-123.134654
19;Art Phillips Park;1;N;N;N;N;625;Burrard Street;Melville Street;Burrard Street;Downtown;https://vancouver.ca/news-calendar/downtown.aspx;0.1;49.285911,-123.120948
23;Helmcken Park;1;N;N;N;N;1103;Pacific Boulevard;Helmcken Street;Pacific Boulevard;Downtown;https://vancouver.ca/news-calendar/downtown.aspx;0.17;49.274814,-123.119555
25;May & Lorne Brown Park;1;N;N;N;N;801;Beach Avenue;Beach Avenue;Hornby Street;Downtown;https://vancouver.ca/news-calendar/downtown.aspx;0.25;49.275188,-123.132046
37;Chaldecott Park;1;N;N;Y;Y;4175;Wallace Street;King Edward Avenue;Wallace Street;Dunbar-Southlands;https://vancouver.ca/news-calendar/dunbar-southlands.aspx;3.45;49.249092,-123.192177
42;Valdez Park;1;N;N;Y;N;3210;W 22nd Avenue;W 22nd Avenue;Balaclava Street;Dunbar-Southlands;https://vancouver.ca/news-calendar/dunbar-southlands.aspx;0.77;49.252391,-123.1764
45;Granville Loop Park;0;N;N;Y;N;1435;W 5th Avenue;W 5th Avenue;Granville Street;Fairview;https://vancouver.ca/news-calendar/fairview.aspx;1.05;49.267284,-123.13754
48;Willow Park;1;N;N;N;N;802;W 7th Avenue;W 7th Avenue;Willow Street;Fairview;https://vancouver.ca/news-calendar/fairview.aspx;0.07;49.264868,-123.122031
49;Alice Townley Park;1;N;N;N;N;1775;Woodland Drive;E 2nd Avenue;Woodland Drive;Grandview-Woodland;https://vancouver.ca/news-calendar/grandview-woodland.aspx;0.22;49.268974,-123.073923
51;Garden Park;1;N;N;Y;Y;1851;Garden Drive;E 3rd Avenue;Garden Drive;Grandview-Woodland;https://vancouver.ca/news-calendar/grandview-woodland.aspx;0.97;49.268159,-123.058994
55;Mosaic Creek Park;1;N;N;N;N;1475;Charles Street;Charles Street;McLean Drive;Grandview-Woodland;https://vancouver.ca/news-calendar/grandview-woodland.aspx;0.11;49.273323,-123.074121
